01.txt:196:talk "俺","「……」"
02.txt:244:talk "ミオ","「はいはい、食うのが遅くてごめんなさいね～」"\
02.txt:249:talk "俺","「美味しかったな」"\
02.txt:250:talk "ミオ","「君が急かさなかったらもっと美味しかったよっ」"\
02.txt:252:talk "俺","「まだ根に持ってるのか、ミオちんは」"\
02.txt:253:talk "ミオ","「なんですとっ、そのふざけた呼び方は」"\
02.txt:260:talk "俺","「さすがにもう空いてるみたいだな」"\
02.txt:261:talk "ミオ","「これで混んでたら泣くところだったよ……」"\
02.txt:262:talk "俺","「もう中学生なのに列車で泣こうとすんな」"\
02.txt:263:talk "ミオ","「えーっ、なんでよぉ。まだ心は子供なんだよ？」"\
02.txt:265:talk "俺","「だとしても体は中学生なんだろ？　泣くならホテルに入ってからにしろよ。まあとりあえず、ホテル入るまでの辛抱だ。頑張ろうぜミオちん」"\
02.txt:266:talk "ミオ","「ミオちんって言うなっ」"\
02.txt:267:talk "俺","「はいはい」"\
02.txt:291:talk "ミオ","「ねえっ。起きてってば、もう浜松なんだよ」"\
02.txt:292:talk "ミオ","「起きないとほっぺたつねっちゃいますからねっ」"\
02.txt:293:talk "ミオ","「こんなに声かけても起きないか……」"\
02.txt:294:talk "ミオ","「よしっ」"\
02.txt:297:talk "俺","「痛い痛い痛いって！」"\
02.txt:298:talk "ミオ","「起きたかなぁ……」"\
02.txt:300:talk "俺","「やめろ、やめろって！」"\
02.txt:301:talk "俺","「起きてるから！」"\
02.txt:304:talk "ミオ","「やっと起きたかぁ」"\
02.txt:306:talk "俺","「さっきから起きてるわ！　つねりすぎだぞ」"\
02.txt:308:talk "ミオ","「だってずっと寝てるし……」"\
02.txt:309:talk "ミオ","「それよりも早く列車から降りないとだよ。もう浜松に着いたんだしね」"\
02.txt:315:talk "俺","「顔つねりやがって、まだ痛えぞ」"\
02.txt:316:talk "ミオ","「君が起きないからなんだよ……私が起こさなかったら君起きなかったからね、感謝してよね」"\
02.txt:317:talk "俺","「わかったよわかった、ありがとうな」"\
02.txt:325:talk "ミオ","「お金、まだ全然あるよね？」"\
02.txt:326:talk "俺","「ああ、５０万もあったらさすがに二週間は生き延びれるな」"\
02.txt:327:talk "ミオ","「その後お金なくなったらどうしよう……」"\
02.txt:328:talk "俺","「安心しろ、そうなったらそうなったでなんとかなるだろ」"\
02.txt:330:talk "ミオ","「大丈夫かなぁ……」"\
02.txt:337:talk "俺","「どうだ、ミオ。まだ元気あるか？」"\
02.txt:338:talk "ミオ","「うーん……疲れたけどまだまだ大丈夫だよぉ」"\
02.txt:340:talk "俺","「眠いなら寝てもいいぞ」"\
02.txt:341:talk "ミオ","「うん……そうするよ」"\
02.txt:342:talk "ミオ","「おやすみ……」"\
02.txt:359:talk "俺","「起きろっ、ミオ！　行くぞ！」"\
02.txt:363:talk "俺","「ミオ、頑張ってついてこい！」"\
02.txt:364:talk "ミオ","「っ、ま、まって……はやっ、はぁっ……！」"\
02.txt:370:talk "俺","「ミオ、乗っかれ！」"\
02.txt:371:talk "ミオ","「あ、ありがと……」"\
02.txt:379:talk "ミオ","「っ……はぁっ、はぁ……」"\
02.txt:380:talk "ミオ","「あ、ありがと……」"\
02.txt:381:talk "俺","「っ、お、おう……」"\
02.txt:394:talk "ミオ","「ねえっ。あとどのぐらいで岡山に着くかな……？」"\
02.txt:395:talk "俺","「まだまだ遠いぞ」"\
02.txt:396:talk "ミオ","「そんなぁ……」"\
02.txt:410:talk "ミオ","「ねえっ、疲れたよ……」"\
02.txt:411:talk "ミオ","「今日はここで休まない？」"\
02.txt:412:talk "俺","「そうだな……」"\
02.txt:415:talk "俺","「そうだな、そうしようか」"\
02.txt:422:talk "俺","「お願いします」"\
02.txt:424:talk "駅員","「途中下車ですね」"\
02.txt:426:talk "俺","「ありがとうございます」"\
02.txt:429:talk "ミオ","「ねえっ、ホテルどうしよっか……？」"\
02.txt:430:talk "俺","「普通のホテルはまず無理だろうな……あまりにも俺らが幼すぎるしな」"\
02.txt:431:talk "ミオ","「じゃあどうするのよ」"\
02.txt:432:talk "俺","「うーん……そうなるともうあそこしかないな……」"\
02.txt:440:talk "ミオ","「ねえ、ここってさ……」"\
02.txt:444:talk "俺","「普通のホテルに行けば、身分証を求められて追い出される。だがラブホテルなら機械だけで鍵が手に入る」"\
02.txt:445:talk "ミオ","「だからってさ……」"\
02.txt:461:talk "ミオ","「…………」"\
02.txt:489:talk "俺","「おはよう」"\
02.txt:490:talk "ミオ","「……んっ……まだ……私たち、逃げてるんだよね……」"\
02.txt:491:talk "俺","「ああ、そうだ。ミオ、腹減ったか？」"\
02.txt:493:talk "俺","「じゃあ、なんか頼もうか」"\
02.txt:497:talk "ミオ","「私たち、悪いことしてるみたいだね」"\
02.txt:498:talk "俺","「ああ、とっくに大悪党だ」"\
02.txt:503:talk "ミオ","「あはは……」"\
02.txt:504:talk "俺","「んで、食いたいもの決まったか？」"\
02.txt:505:talk "ミオ","「んじゃぁ……エビピラフと……メロンソーダと……たこ焼きにする……」"\
02.txt:507:talk "俺","「おいおい、お医者さんに刺激物は控えるように言われてるんじゃなかったのか？」"\
02.txt:508:talk "ミオ","「そのぐらいいいじゃん……もう私たち、悪いことしちゃってるからね……」"\
02.txt:510:talk "俺","「まぁそうだけどさ、せめてたこ焼きはやめたらどうだ？」"\
02.txt:511:talk "ミオ","「たこ焼き食べたいよぉ」"\
02.txt:512:talk "俺","「ここで腹痛になっても知らねえぞ……俺らは病院に行けないんだからな」"\
02.txt:513:talk "ミオ","「……ちぇっ。正論には勝てないなぁ」"\
02.txt:514:talk "ミオ","「わかったよ。じゃあ、たこ焼きはキャンセル。……エビピラフとメロンソーダ、お願いね」"\
02.txt:515:talk "俺","「わかった」"\
02.txt:519:talk "フロント","「……はい、フロントです」"\
02.txt:523:talk "俺","「エビピラフとメロンソーダ、あとはカツカレーとコーラをお願いします」"\
02.txt:524:talk "フロント","「はい、かしこまりました。少々お待ち下さい」"\
02.txt:536:talk "ミオ","「わぁ……めっちゃジャンキーだね」"\
02.txt:538:talk "ミオ","「ねえっ、もう食べていい？」"\
02.txt:540:talk "俺","「ああ、良いに決まってるだろ」"\
02.txt:543:talk "俺","「薬はどうした」"\
02.txt:544:talk "ミオ","「あっ……」"\
02.txt:546:talk "ミオ","「忘れてたよ……ありがとね」"\
02.txt:550:talk "ミオ","「んじゃ、いただきま～す」"\
02.txt:567:talk "俺","「ミオ、そのまま寝ると汚いだろ。先に風呂入ってこい」"\
02.txt:573:talk "ミオ","「ええ～……これ大人用じゃん……絶対ぶかぶかだよぉ……」"\
02.txt:574:talk "俺","「……それで我慢してくれ」"\
02.txt:588:talk "ミオ","「お風呂、使っていいよ……」"\
02.txt:589:talk "俺","「んじゃ、行ってくるな」"\
02.txt:598:talk "俺","「風呂、出たぞ」"\
02.txt:599:talk "ミオ","「そっか。」"\
02.txt:600:talk "俺","「もう電気、消していいか？」"\
02.txt:604:talk "ミオ","「おやすみっ。」"\
03.txt:32:talk "俺","「起きろ、ミオ！警察が来たぞ！」"
03.txt:35:talk "ミオ","「ん....？」"
03.txt:38:talk "ミオ","「...！！！！！！！！」"
03.txt:45:talk "俺","「おっと...」"
03.txt:46:talk "俺","「俺も危うく飛ばされそうになった。」"
03.txt:49:talk "俺","「冗談だよ、おはよう」"
03.txt:52:talk "ミオ","「なんていたずらするんですかっ！」"
03.txt:53:talk "ミオ","「ミオの小さな拳が、肩になんどもぶつかってくる。」"
03.txt:54:talk "ミオ","「音だけは立派だが、そこに込められた力はあまりにも弱々しかった。」"
03.txt:55:talk "ミオ","「本人は渾身の力で殴っているつもりなんだろう。けれど、俺は痛みを感じることはなく、ただ彼女の力の衰えを感じただけだった。」"
03.txt:58:talk "俺","「ちょっ、やめろって」"
03.txt:61:talk "俺","「痛いからっ」"
03.txt:68:talk "俺","「そんでさ、朝飯何食おっか？」"
03.txt:71:talk "ミオ","「う～ん....」"
03.txt:74:talk "ミオ","「とりあえずさ、お外歩かない？少しは観光したいなぁ」"
03.txt:77:talk "俺","「しょうがないな。行こうぜ。」"
03.txt:80:talk "俺","「ここに戻ってくるつもりはあるのか？」"
03.txt:83:talk "ミオ","「うーん、観光終わったらまたどっか行きたいな」"
03.txt:86:talk "俺","「じゃあ、支度するか」"
03.txt:89:talk "ミオ","「うんっ」"
03.txt:90:talk "ミオ","「そうしてミオは２人分の荷物をまとめてくれた。」"
03.txt:93:talk "俺","「忘れ物、ないか？」"
03.txt:96:talk "ミオ","「たぶんっ」"
03.txt:99:talk "俺","「じゃ、行くぞ」"
03.txt:106:talk "ミオ","「いろんな人に見られてるね....」"
03.txt:133:talk "俺","「なあ、ミオ。朝飯にパンなんてどうだ？」"
03.txt:136:talk "ミオ","「いいじゃんいいじゃん。私も匂いにつられてるところだったんだよっ」"
03.txt:137:talk "ミオ","「まるで心の中を見透かされたとでも言うように、ミオは一瞬目を丸くした。」"
03.txt:138:talk "ミオ","「それから誤魔化すかのようにえへへと笑い、頭を縦に振った。」"
03.txt:141:talk "俺","「よし、それじゃあ決まりだ」"
03.txt:144:talk "ミオ","「れっつご～」"
03.txt:153:talk "ミオ","「メロンパン！」"
03.txt:154:talk "ミオ","「そう言ってミオはトングとトレーを取り、速攻でメロンパンを取った。」"
03.txt:155:talk "ミオ","「俺もトレーとトングを取った。」"
03.txt:158:talk "ミオ","「♪」"
03.txt:161:talk "俺","「おい、お前病人なんだからさ、消化のいいものにしろよ」"
03.txt:164:talk "ミオ","「甘いものは幸せだから健康にいいって知らないの？」"
03.txt:167:talk "俺","「知らねえよ、そんな変なルール」"
03.txt:170:talk "ミオ","「はいはい、これあげるから、落ち着きなよぉ」"
03.txt:171:talk "ミオ","「ミオは保護者のような呆れ顔を作ると、自分のトレーからメロンパンを一つ掴み、俺のトレーへぽいっと放り込んできた。」"
03.txt:172:talk "ミオ","「完全に子供扱いだ。」"
03.txt:184:talk "俺","「一万円からお願いします」"
03.txt:190:talk "俺","「あはは....」"
03.txt:196:talk "俺","「朝ごはん買いに来ただけです」"
03.txt:199:talk "俺","「とりあえず早く会計してください」"
03.txt:217:talk "俺","「ミオ、これ取れ」"
03.txt:218:talk "俺","「俺の分のパンを袋から取り出し、残ったミオのパンを袋ごと投げた。」"
03.txt:221:talk "俺","「駅で食おっか」"
03.txt:224:talk "ミオ","「....おごってくれてありがとね」"
03.txt:227:talk "俺","「別に俺の金じゃねえしな。感謝しなくてもいいぞ」"
03.txt:230:talk "ミオ","「そっか...」"
03.txt:253:talk "俺","「ここでいいだろ」"
03.txt:260:talk "ミオ","「うんっ」"
03.txt:263:talk "ミオ","「ミオも俺の隣にちょこんと座り込み、嬉しそうに膝の上でメロンパンの包み紙を開ける。」"
03.txt:264:talk "ミオ","「頭上を通り過ぎていく通勤客たちが、地べたに座る俺たちを怪訝な目で見下ろしていくが、今のミオには目の前のメロンパンしか見えていないらしい。」"
03.txt:265:talk "ミオ","「全く能天気で羨ましい。」"
03.txt:268:talk "ミオ","「君も早く食べなよっ」"
03.txt:271:talk "ミオ","「特にこの耳の部分が美味しいんだよっ」"
03.txt:272:talk "ミオ","「とにこにこで話しかけてくる。」"
03.txt:275:talk "俺","「.....わかったよ」"
03.txt:278:talk "俺","「と俺も包を開け、カリカリの耳を食べた。」"
03.txt:285:talk "ミオ","「ミオはハムスターみたいにちびちび食べながら、幸せそうな顔をしている。」"
03.txt:288:talk "俺","「俺はそれを横目にガブッと頬張り、一気に食った。」"
03.txt:294:talk "ミオ","「ミオは気にしてなさそうだけどさ。」"
03.txt:297:talk "俺","「なあ、ミオ」"
03.txt:300:talk "俺","「食ったらどこ行きたいか？」"
03.txt:303:talk "ミオ","「う?んとね…」"
03.txt:306:talk "ミオ","「う?ん」"
03.txt:310:talk "ミオ","「ない！」"
03.txt:313:talk "ミオ","「でもね…強いて言えば服を買いに行きたいかなぁ…」"
03.txt:316:talk "俺","「まあ、この汗だらけの服も気持ちわりいしな…」"
03.txt:319:talk "俺","「洗って使い回すでもいいんだろうけど、制服は目立ちすぎる…」"
03.txt:322:talk "ミオ","「ってことは！いつも着れない高いお洋服を着るチャンス！やったぁ?」"
03.txt:325:talk "俺","「五万円までなら許してやる」"
03.txt:328:talk "ミオ","「やったっ！」"
03.txt:329:talk "ミオ","「ミオはメロンパンを急いで食べはじめた。」"
03.txt:339:talk "ミオ","「美味しかった～」"
03.txt:340:talk "ミオ","「と満足そうに微笑んでる。」"
03.txt:343:talk "俺","「なあ、ミオ」"
03.txt:346:talk "ミオ","「どした？」"
03.txt:349:talk "俺","「もしかしたら薬飲むの忘れてんじゃねえか？」"
03.txt:352:talk "ミオ","「.....！」"
03.txt:355:talk "ミオ","「もっと早く言ってよぉ～！！」"
03.txt:356:talk "ミオ","「と肩を叩いてくる。」"
03.txt:359:talk "ミオ","「私のこと殺したいのか！」"
03.txt:362:talk "俺","「その冗談、笑えねえよ....」"
03.txt:365:talk "ミオ","「あ、あはは....」"
03.txt:366:talk "ミオ","「ミオはひきつった笑いを浮かべ、気まずそうに顔を伏せた。」"
03.txt:369:talk "俺","「薬飲めたら、行くぞ。あんまここに長居したくねえしな」"
03.txt:375:talk "ミオ","「ミオは巾着から薬を取り出し、水で流し込んだ。」"
03.txt:378:talk "ミオ","「行こっ」"
03.txt:379:talk "ミオ","「と俺の手を握ってきた。」"
03.txt:382:talk "俺","「俺は黙ってその手を強く握り返し、海の匂いがするメイン通りへと歩き出した。」"
03.txt:383:talk "俺","「(俺はたぶん、ミオが死ぬのを怖がってるのかもしれない...)」"
03.txt:394:talk "俺","「閉まってるな...」"
03.txt:397:talk "ミオ","「ええーっ、嘘ぉ……」"
03.txt:398:talk "ミオ","「ミオは閉まったシャッターの前に駆け寄り、恨めしそうにへばりついた。」"
03.txt:401:talk "ミオ","「ねえ、何時開店か書いてない！？」"
03.txt:404:talk "俺","「俺はため息をつきながら近づき、シャッターの端に貼られた小さなプレートの文字を読み上げた。」"
03.txt:407:talk "俺","「……10時だ」"
03.txt:410:talk "ミオ","「それまでどうしようかなぁ」"
03.txt:413:talk "俺","「店の前で居座るか？」"
03.txt:416:talk "ミオ","「君じゃないんだからそんなことしないよ」"
03.txt:417:talk "ミオ","「と小馬鹿にしてきた。」"
03.txt:418:talk "ミオ","「さっきまで階段に居座って堂々とメロンパン食ってたくせに...」"
03.txt:419:talk "ミオ","「と思ったが、口に出すのはやめた。」"
03.txt:422:talk "俺","「お前、どっか行きたいところはないのか？」"
03.txt:425:talk "ミオ","「あんまわかんない....」"
03.txt:428:talk "俺","「そうか」"
03.txt:436:talk "俺","「.....そういえばさっき、海の匂いしたよな」"
03.txt:439:talk "ミオ","「……あ。たしかに」"
03.txt:440:talk "ミオ","「ミオは弾かれたように顔を上げ、さっきまでの退屈そうな表情を一気に輝かせた。」"
03.txt:443:talk "ミオ","「でもさ....どうやって行くの？どこにあるかわかんないんだよっ」"
03.txt:446:talk "俺","「......匂いを辿る」"
03.txt:449:talk "ミオ","「なんか犬みたいだね」"
03.txt:450:talk "ミオ","「ミオは呆れたように肩をすくめる。」"
03.txt:458:talk "ミオ","「あ......」"
03.txt:464:talk "ミオ","「ミオは子供みたいに海へと駆け出した。」"
03.txt:465:talk "俺","「俺はため息をつき、その小さい背中を慌てて追いかける。」"
03.txt:472:talk "俺","「なあ、ミオ。海は好きか？」"
03.txt:475:talk "ミオ","「いきなりだね」"
03.txt:478:talk "ミオ","「好きかと言われるとわからないなぁ。私泳げないし...」"
03.txt:481:talk "ミオ","「....でも、君と見る海は好きだよ」"
03.txt:500:talk "ミオ","「....私がいなくなっても、たまには私のこと思い出してほしいな、なんてね....」"
03.txt:510:talk "ミオ","「....あはは、変なこと言っちゃった」"
03.txt:513:talk "ミオ","「ミオは背を向け、街へと歩きだした。」"
03.txt:516:talk "ミオ","「もう10時なっちゃったよ。行こっかっ！」"
03.txt:520:talk "ミオ","「その背中が、一瞬震えたのは見間違いだろうか、それとも風のせいか、それとも....？」"
03.txt:560:talk "俺","「ミオ、あるね...さっきの店」"
03.txt:563:talk "ミオ","「あったね...さっきの店」"
03.txt:566:talk "俺","「さすがにもう、開いてるみたいだな」"
03.txt:569:talk "ミオ","「まだ開いてなかったら、お寝坊すぎでしょっ」"
03.txt:572:talk "俺","「店がお寝坊ってなんだよ...」"
03.txt:575:talk "ミオ","「そりゃ、店員さん全員が寝坊したとか？」"
03.txt:581:talk "俺","「これで足りるだろ、俺のも頼むぞ！」"
03.txt:584:talk "ミオ","「うんっ！わかったよ～！」"
03.txt:603:talk "ミオ","「ねえ、似合うかな...？」"
03.txt:606:talk "俺","「うん、めっちゃ似合ってる。けど正直に伝えるってのは恥ずいな...ブルマみたいな振り切ったような格好だったらめっちゃ褒めれるけど。」"
03.txt:607:talk "俺","「なんというか、儚いような、おしとやかというか....」"
03.txt:608:talk "俺","「ふざけたら殺されるかな？」"
03.txt:609:talk "俺","「制服姿しか知らない俺にとっては、十分刺激的だった。」"
03.txt:610:talk "俺","「反応に困っていると、ミオももじもじし始めた。」"
03.txt:613:talk "ミオ","「なんか言ってよぉ～....」"
03.txt:619:talk "俺","「....似合ってるんじゃないか？」"
03.txt:622:talk "ミオ","「そっか.....ありがと」"
03.txt:625:talk "俺","「これで喜んでくれたかな...？女の子の気持ちってやつ、ホントにわからん。」"
03.txt:626:talk "俺","「この前少しかじったウィトゲンシュタインの哲学探究以上に難解だ。」"
03.txt:627:talk "俺","「そんなどうでもいい考えより、この何も喋らない静寂が気まづい。」"
03.txt:628:talk "俺","「世界の限界とかどうでもいいから、ウィトゲンシュタインは女の子の扱いについて書くべきだっただろ。」"
03.txt:631:talk "ミオ","「....んでさ、君の服はどうするんだい？」"
03.txt:632:talk "ミオ","「今の気恥ずかしさを誤魔化すかのように、ミオがわざとらしい口調で声を出す。」"
03.txt:633:talk "ミオ","「そっか、俺の服はまだ選んでないのか。すっかり忘れていた。」"
03.txt:636:talk "俺","「俺の服はいいよ、テキトーにユニクロとかでさ」"
03.txt:639:talk "ミオ","「せっかくいい服屋さんの前にいるのに君ってのは無頓着なんだから....」"
03.txt:642:talk "ミオ","「ほら、行くよっ」"
03.txt:643:talk "ミオ","「ミオはやれやれって顔をしながら、何日も使いまわした制服の袖をちょこんと掴んだ。」"
03.txt:644:talk "ミオ","「そして有無を言わさぬ小さな力で、俺を明るい店内へと引きずり込んでいく。」"
03.txt:645:talk "ミオ","「しょうがない、言われるがままについていこう。」"
03.txt:646:talk "ミオ","「正直どうでもいいのに、ミオの言うがままにしちゃう俺がいた。」"
03.txt:650:talk "俺","「(俺は着せ替え人形じゃねえ...) と思いつつ、何だかんだこの状況を楽しんでたのかもしれない。」"
03.txt:651:talk "俺","「そうして言われるがままに着せ替えられていたら、俺の服がとんでもないことになってた。」"
03.txt:652:talk "俺","「カレーうどんを啜ったら一瞬でおしゃかになってしまいそうな真っ白いシャツに、淡いブルーのカーディガン。」"
03.txt:653:talk "俺","「そして黒い学生服のズボンとは正反対の、小綺麗なベージュのチノパン。」"
03.txt:656:talk "俺","「パンク系や厨二病？みたいな服をさっきまで着せられてたのに、こんな系統は意外だ。」"
03.txt:662:talk "俺","「いや、大....」"
03.txt:663:talk "ミオ","「ミオは俺の発言を遮るように、」"
03.txt:664:talk "ミオ","「「着ていきます！だよね、君」"
03.txt:667:talk "俺","「お、おう...」"
03.txt:673:talk "俺","「もう完全に言われるがままだ。」"
03.txt:674:talk "俺","「世の中の男子が買い物の時だけ主導権なくなるってのはホントだったのか。」"
03.txt:683:talk "ミオ","「ちょっと待って。さっきもらったお金、まだ余ってるから！」"
03.txt:686:talk "俺","「そのお金は取っとけ、あとで使うかもしれんしな」"
03.txt:689:talk "俺","「金はたくさんあるんだぞ、俺ら」"
03.txt:692:talk "ミオ","「そっか....」"
03.txt:693:talk "ミオ","「どこか不安げだったミオの顔つきが、少しだけ柔らかく解ける。」"
03.txt:694:talk "ミオ","「ろくでもない逃避行だが、金だけは腐るほどある。俺は財布の中で分厚い束になっている万札の手触りを確かめながら、静かにレジの順番を待った。」"
03.txt:700:talk "俺","「じゃあ、3万円からで」"
03.txt:716:talk "俺","「.....俺、似合ってるか」"
03.txt:719:talk "ミオ","「似合ってる、かもね」"
